MMM,3M Company,Industrials
AOS,A.O. Smith Corp,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie Inc.,Health Care
ABMD,ABIOMED Inc,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Communication Services
ADBE,Adobe Inc.,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AMD,Advanced Micro Devices Inc,Information Technology
AES,AES Corp,Utilities
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
ARE,Alexandria Real Estate Equities,Real Estate
ALXN,Alexion Pharmaceuticals,Health Care
ALGN,Align Technology,Health Care
ALLE,Allegion,Industrials
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc.,Consumer Discretionary
AMCR,Amcor plc,Materials
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,American International Group,Financials
AMT,American Tower Corp.,Real Estate
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,Health Care
APH,Amphenol Corp,Information Technology
ADI,Analog Devices Inc.,Information Technology
ANSS,ANSYS,Information Technology
ANTM,Anthem,Health Care
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Management,Real Estate
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
APTV,Aptiv PLC,Consumer Discretionary
ADM,Archer-Daniels-Midland Co,Consumer Staples
